iter	RMSE
128	19917.92562
129	19835.83121
130	19766.3953
131	19681.41859
132	19608.4344
133	19557.88913
134	19486.9662
135	19431.12598
136	19386.03016
137	19308.5882
138	19250.56098
139	19209.78213
140	19150.82593
141	19082.80504
142	19039.72523
143	19010.86376
144	18994.31938
145	18926.69399
146	18865.22059
147	18813.39069
148	18762.29822
149	18699.34382
150	18643.35725
151	18573.11494
152	18535.09087
153	18517.10376
154	18463.27736
155	18422.64796
156	18390.12017
157	18332.31565
158	18286.38268
159	18243.89865
160	18207.00608
161	18162.29404
162	18129.36377
163	18067.56825
164	18047.9399
165	18037.62891
166	18000.65397
167	17941.29711
168	17922.9816
169	17868.13378
170	17805.16565
171	17760.13439
172	17710.17272
173	17658.95821
174	17604.21091
175	17549.592
176	17517.41409
177	17466.52905
178	17447.48986
179	17407.45647
180	17366.95295
181	17328.02406
182	17283.97395
183	17233.09741
184	17190.51037
185	17176.87858
186	17132.51082
187	17107.36878
188	17058.04525
189	17023.02908
190	16977.56762
191	16949.44125
192	16895.40846
193	16849.05338
194	16836.34476
195	16796.45706
196	16753.90656
197	16734.80465
198	16681.84386
199	16668.6297
200	16626.70614
201	16585.63771
202	16536.5763
203	16524.83013
204	16468.45142
205	16441.12858
206	16406.03504
207	16371.96184
208	16335.12698
209	16312.11075
210	16275.35149
211	16255.74053
212	16215.81959
213	16198.68897
214	16188.26144
215	16145.40036
216	16115.23413
217	16074.71797
218	16030.84638
219	15990.8167
220	15972.89989
221	15935.94689
222	15893.7888
223	15865.2878
224	15825.08984
225	15809.82417
226	15786.31997
227	15775.38911
228	15753.32263
229	15743.10472
230	15715.13112
231	15678.13319
232	15645.48371
233	15626.06451
234	15595.94363
235	15571.04143
236	15563.39022
237	15515.98902
238	15489.07066
239	15458.93723
240	15437.50928
241	15402.9137
242	15395.0694
243	15357.94454
244	15332.19094
245	15298.02228
246	15259.93409
247	15244.1603
248	15230.11773
249	15193.8779
250	15166.10405
251	15139.85703
252	15100.20451
253	15053.82702
254	15034.29305
255	15026.99329
256	14991.42364
257	14958.71334
258	14926.84811
259	14920.7496
260	14895.64525
261	14870.52026
262	14841.22156
263	14823.88655
264	14789.7839
265	14759.11076
266	14726.45109
267	14686.43394
268	14681.55044
269	14659.22837
270	14642.79721
271	14616.18394
272	14584.56886
273	14559.82196
274	14523.16718
275	14506.18876
276	14496.7818
277	14458.01087
278	14409.19441
279	14377.20879
280	14347.26261
281	14311.88682
282	14275.91179
283	14237.91516
284	14203.64962
285	14184.6346
286	14158.36063
287	14131.35284
288	14089.88877
289	14059.15944
290	14040.90962
291	14029.34017
292	13985.68476
293	13956.98931
294	13925.4841
295	13921.91821
296	13895.61276
297	13863.32558
298	13838.24916
299	13834.44952
300	13805.79439
301	13801.55325
302	13787.16184
303	13765.53067
304	13737.50793
305	13716.42746
306	13693.38502
307	13673.5541
308	13655.71608
309	13629.99869
310	13593.3257
311	13565.92882
312	13562.73876
313	13559.46715
314	13537.54842
315	13530.21888
316	13500.38183
317	13486.8293
318	13456.82007
319	13439.21138
320	13418.47446
321	13390.0274
322	13370.01071
323	13367.56323
324	13363.22381
325	13331.92993
326	13328.80536
327	13299.7952
328	13278.46812
329	13255.49402
330	13231.99077
331	13228.90771
332	13226.93911
333	13208.75405
334	13200.28252
335	13182.66257
336	13180.06188
337	13177.60316
338	13170.78272
339	13132.03657
340	13109.73675
341	13083.39829
342	13070.22027
343	13054.8886
344	13028.73198
345	13003.33722
346	12990.9557
347	12958.53956
348	12943.42791
349	12920.32942
350	12900.39493
351	12868.68412
352	12851.68743
353	12842.38637
354	12822.86294
355	12805.9737
356	12774.01474
357	12756.1924
358	12731.01945
359	12706.40368
360	12686.7722
361	12663.99999
362	12651.40833
363	12626.12187
364	12604.52507
365	12569.91306
366	12540.43155
367	12530.27857
368	12514.70237
369	12511.94953
370	12509.91884
371	12485.03802
372	12469.94342
373	12445.54593
374	12442.73201
375	12417.82386
376	12384.30361
377	12368.00189
378	12364.95768
379	12350.00327
380	12327.29866
381	12325.49585
382	12313.52492
383	12287.17179
384	12268.67673
385	12244.84514
386	12225.02098
387	12200.11966
388	12178.24076
389	12151.76387
390	12143.98705
391	12124.87732
392	12107.8878
393	12085.41694
394	12067.03467
395	12045.21117
396	12024.1652
397	12009.93844
398	11994.63961
399	11979.61927
400	11963.27583
401	11938.59775
402	11932.1037
403	11917.17832
404	11907.29811
405	11880.09779
406	11862.8867
407	11845.03739
408	11842.32888
409	11826.74086
410	11804.57509
411	11802.55006
412	11796.24995
413	11794.88872
414	11768.39085
415	11753.39338
416	11738.84715
417	11720.05523
418	11703.55409
419	11687.4945
420	11672.21638
421	11645.86877
422	11621.97852
423	11610.43061
424	11600.45061
425	11585.4895
426	11568.44539
427	11565.89432
428	11549.06508
429	11517.82597
430	11496.94172
431	11478.04405
432	11467.30605
433	11453.49941
434	11439.5377
435	11438.20862
436	11423.08199
437	11406.17844
438	11391.50047
439	11365.98935
440	11343.59886
441	11328.70904
442	11326.65911
443	11306.27679
444	11280.76537
445	11267.47216
446	11266.25196
447	11244.16758
448	11236.98423
449	11216.90741
450	11208.64326
451	11194.89963
452	11171.23157
453	11153.12755
454	11137.88103
455	11124.36055
456	11107.51081
457	11080.44521
458	11055.55276
459	11043.57223
460	11030.80456
461	11015.22735
462	11000.38652
463	10985.45734
464	10967.81485
465	10958.21034
466	10949.14515
467	10929.64977
468	10928.46586
469	10913.20011
470	10906.9632
471	10889.83593
472	10879.74981
473	10862.81659
474	10834.40645
475	10818.7502
476	10806.73909
477	10802.81685
478	10794.83237
479	10782.47316
480	10767.69678
481	10754.51865
482	10745.07034
483	10740.10722
484	10728.73107
485	10718.99806
486	10706.0667
487	10697.18398
488	10681.92109
489	10668.12118
490	10650.55796
491	10636.24211
492	10628.77631
493	10622.03141
494	10609.791
495	10605.8093
496	10582.47506
497	10580.09359
498	10568.35115
499	10560.07336
500	10552.67563
501	10540.80064
502	10530.42003
503	10518.73384
504	10504.46056
505	10487.9214
506	10467.18897
507	10448.31468
508	10435.06876
509	10418.0932
510	10414.74165
511	10399.67887
512	10371.98158
513	10345.32131
514	10328.6332
515	10327.57601
516	10315.15932
517	10300.54319
518	10290.45384
519	10270.71681
520	10264.41295
521	10250.58418
522	10243.87852
523	10234.55833
524	10219.95076
525	10212.18887
526	10206.98396
527	10199.57609
528	10186.08084
529	10166.45224
530	10137.71591
531	10123.63955
532	10112.25942
533	10109.87716
534	10103.74518
535	10091.06202
536	10069.22671
537	10056.73211
538	10040.69979
539	10033.26669
540	10019.2715
541	9998.455278
542	9995.432327
543	9989.477581
544	9978.385365
545	9963.608953
546	9950.21588
547	9932.146195
548	9919.352806
549	9906.665751
550	9899.062332
551	9889.616245
552	9870.699342
553	9855.477586
554	9836.71239
555	9815.786647
556	9801.907482
557	9790.928333
558	9788.434513
559	9778.664403
560	9767.038229
561	9752.327415
562	9745.011451
563	9740.059451
564	9729.08079
565	9712.789283
566	9689.738678
567	9678.962018
568	9667.811829
569	9653.265852
570	9641.319652
571	9625.844826
572	9620.311719
573	9614.657138
574	9604.545472
575	9596.343145
576	9579.326229
577	9574.844527
578	9559.817049
579	9546.49275
580	9536.71471
581	9521.576403
582	9509.338226
583	9489.747405
584	9473.360474
585	9464.032418
586	9454.183848
587	9450.938821
588	9436.010912
589	9421.44467
590	9413.168094
591	9400.432501
592	9389.278267
593	9381.860573
594	9372.651473
595	9356.280227
596	9352.584959
597	9341.017779
598	9335.892371
599	9317.490663
600	9305.059839
601	9296.166801
602	9289.244667
603	9279.890717
604	9274.67843
605	9257.758678
606	9248.734777
607	9240.2388
608	9229.443676
609	9220.461233
610	9215.677199
611	9209.278425
612	9192.12462
613	9185.324223
614	9177.453401
615	9166.791242
616	9159.217114
617	9151.201694
618	9147.237084
619	9145.580713
620	9134.118835
621	9118.943817
622	9101.63293
623	9090.901723
624	9087.744657
625	9084.811717
626	9071.748263
627	9063.644643
628	9056.440114
629	9050.566464
630	9032.214779
631	9021.350671
632	9008.98908
633	8999.908932
634	8985.300077
635	8973.411593
636	8966.768362
637	8958.048327
638	8955.231517
639	8952.616087
640	8934.92194
641	8920.189664
642	8912.899933
643	8907.486162
644	8904.862758
645	8896.583791
646	8892.062114
647	8886.44932
648	8876.739143
649	8869.094042
650	8856.263763
651	8847.050681
652	8839.622191
653	8826.979263
654	8814.568182
655	8799.282911
656	8789.743144
657	8777.118723
658	8763.417426
659	8755.937907
660	8746.457233
661	8730.990307
662	8717.255148
663	8697.681842
664	8688.530013
665	8686.260296
666	8683.378794
667	8663.311344
668	8646.475215
669	8633.354765
670	8625.999268
671	8619.488755
672	8606.903795
673	8603.849785
674	8594.910799
675	8577.395252
676	8570.526786
677	8553.850352
678	8537.429734
679	8534.195328
680	8529.322815
681	8521.57216
682	8519.766895
683	8518.988256
684	8507.70788
685	8498.129752
686	8487.426175
687	8481.732731
688	8460.956509
689	8452.147007
690	8439.261511
691	8425.510921
692	8417.928726
693	8414.423148
694	8405.16621
695	8391.715123
696	8372.443858
697	8367.964627
698	8356.351427
699	8355.304646
700	8349.004443
701	8338.302836
702	8315.132662
703	8301.621639
704	8293.399707
705	8281.605269
706	8278.916867
707	8266.48886
708	8254.275469
709	8244.859837
710	8241.106938
711	8231.243525
712	8215.105083
713	8208.641688
714	8195.293092
715	8185.715587
716	8174.122618
717	8172.135036
718	8170.768817
719	8156.492395
720	8151.081436
721	8135.488792
722	8127.970868
723	8118.900377
724	8106.099517
725	8097.024679
726	8092.005625
727	8073.63396
728	8067.256644
729	8058.962282
730	8045.670789
731	8041.93536
732	8030.098494
733	8024.731805
734	8014.814824
735	8011.24349
736	8006.17463
737	7996.27955
738	7989.870869
739	7973.238012
740	7958.28458
741	7944.730745
742	7931.718084
743	7920.715511
744	7910.672372
745	7903.227832
746	7889.114746
747	7877.803124
748	7869.953321
749	7867.482524
750	7851.612461
751	7841.352454
752	7831.484086
753	7821.727383
754	7808.072263
755	7792.657564
756	7788.838304
757	7780.193914
758	7765.374461
759	7755.535309
760	7748.334929
761	7735.834356
762	7727.605902
763	7716.507334
764	7707.475173
765	7696.25457
766	7681.847544
767	7675.9972
768	7666.347817
769	7660.698866
770	7660.089355
771	7647.568811
772	7643.052869
773	7626.76626
774	7614.495243
775	7603.691276
776	7600.007341
777	7595.378901
778	7587.953725
779	7577.633178
780	7571.423428
781	7570.148585
782	7562.1872
783	7557.953346
784	7554.734075
785	7548.132425
786	7538.772452
787	7532.736201
788	7531.197874
789	7518.384713
790	7509.888318
791	7500.28346
792	7493.765802
793	7486.161392
794	7474.969293
795	7472.840614
796	7467.368321
797	7455.803584
798	7435.823145
799	7425.361641
800	7412.24944
801	7410.65465
802	7406.53423
803	7397.126927
804	7388.063779
805	7383.230107
806	7369.860076
807	7358.218079
808	7351.697445
809	7343.650999
810	7333.458217
811	7327.32671
812	7312.44541
813	7311.318909
814	7299.130477
815	7293.451205
816	7284.208921
817	7273.785958
818	7265.396401
819	7260.725177
820	7249.45789
821	7244.393482
822	7237.663286
823	7225.039365
824	7216.765562
825	7215.783816
826	7204.881725
827	7202.969793
828	7185.733983
829	7183.719644
830	7175.662961
831	7172.417765
832	7169.81624
833	7162.802547
834	7157.620752
835	7151.640034
836	7149.543555
837	7139.849722
838	7130.333994
839	7129.508846
840	7125.583555
841	7118.665402
842	7106.00026
843	7097.257773
844	7087.785571
845	7087.093845
846	7076.81188
847	7064.014293
848	7061.330305
849	7060.46296
850	7055.981609
851	7046.109549
852	7029.258246
853	7019.993863
854	7010.686367
855	6997.73413
856	6994.469063
857	6989.834122
858	6983.833739
859	6972.413447
860	6964.557687
861	6951.293109
862	6944.981269
863	6935.652879
864	6931.107769
865	6926.443861
866	6922.453623
867	6916.387074
868	6910.933991
869	6904.184275
870	6897.440281
871	6884.501345
872	6883.647001
873	6878.418774
874	6870.166629
875	6864.074916
876	6849.821091
877	6849.281871
878	6843.761754
879	6842.4944
880	6830.443584
881	6820.687308
882	6815.943114
883	6815.168555
884	6806.031713
885	6792.251801
886	6780.348675
887	6777.325702
888	6775.22221
889	6768.22764
890	6762.213313
891	6753.255284
892	6750.246067
893	6749.727479
894	6743.451117
895	6733.333157
896	6727.276277
897	6715.428856
898	6710.970768
899	6708.599808
900	6703.947914
901	6698.982945
902	6690.331817
903	6680.018925
904	6673.325367
905	6667.516979
906	6658.049722
907	6650.683762
908	6643.558838
909	6641.227458
910	6638.334376
911	6628.724144
912	6622.806246
913	6618.664454
914	6612.43541
915	6607.501852
916	6602.446657
917	6593.734885
918	6589.881094
919	6582.208541
920	6572.148533
921	6557.856055
922	6549.709755
923	6543.867119
924	6542.006089
925	6541.189736
926	6536.718292
927	6533.149136
928	6524.125607
929	6522.635688
930	6512.171612
931	6505.038029
932	6497.595762
933	6490.893392
934	6490.265222
935	6487.285906
936	6481.253808
937	6473.231286
938	6472.8683
939	6469.770449
940	6466.054369
941	6464.380318
942	6458.403176
943	6450.288362
944	6448.341763
945	6447.652935
946	6436.586454
947	6425.63642
948	6421.0926
949	6410.638935
950	6403.540645
951	6398.008468
952	6397.41777
953	6391.717453
954	6380.509949
955	6378.354531
956	6369.397947
957	6358.394129
958	6354.159374
959	6348.888561
960	6348.213786
961	6341.549348
962	6328.368805
963	6319.188193
964	6313.44572
965	6309.770932
966	6302.963545
967	6302.478982
968	6301.903125
969	6301.303749
970	6298.782754
971	6288.836536
972	6285.560825
973	6281.854175
974	6281.452274
975	6270.759968
976	6266.239314
977	6259.891884
978	6253.593953
979	6250.675199
980	6242.598983
981	6237.05494
982	6235.309117
983	6222.187007
984	6220.048746
985	6211.932726
986	6211.381212
987	6204.660296
988	6195.837171
989	6189.827833
990	6179.55771
991	6173.455821
992	6172.884785
993	6166.310004
994	6162.36878
995	6155.855619
996	6152.066129
997	6148.291879
998	6140.396025
999	6136.774831
